ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
DOM,Dominican Republic,U.S. dollars,Billions,,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,67.264,71.254,75.777,80.082,85.63,89.032,78.731,83.917,2019
ECU,Ecuador,U.S. dollars,Billions,,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.562,108.108,96.665,100.595,2019
EGY,Egypt,U.S. dollars,Billions,,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,250.253,302.335,361.847,394.284,2020
SLV,El Salvador,U.S. dollars,Billions,,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.117,27.023,24.609,26.277,2019
GNQ,Equatorial Guinea,U.S. dollars,Billions,,1.674,2.071,3.768,5.954,8.187,10.095,13.089,19.83,15.088,16.314,21.357,22.388,21.949,21.765,13.185,11.241,12.201,13.278,11.025,9.524,11.726,2017
ERI,Eritrea,U.S. dollars,Billions,,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,2.086,2.25,2018
EST,Estonia,U.S. dollars,Billions,,6.274,7.396,9.895,12.157,14.117,17.036,22.473,24.463,19.804,19.73,23.421,23.206,25.279,26.816,23.06,24.269,26.942,30.645,31.475,31.005,35.187,2020
SWZ,Eswatini,U.S. dollars,Billions,,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.887,4.6,4.426,4.061,3.815,4.407,4.666,4.471,3.949,4.226,2019
ETH,Ethiopia,U.S. dollars,Billions,,8.103,7.828,8.604,10.122,12.387,15.31,19.329,26.25,28.672,26.887,30.48,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,93.966,2020
FJI,Fiji,U.S. dollars,Billions,,1.798,1.996,2.509,2.954,3.257,3.361,3.688,3.816,3.106,3.402,4.094,4.303,4.539,4.857,4.682,4.93,5.353,5.581,5.497,4.316,4.586,2019
FIN,Finland,U.S. dollars,Billions,,129.534,140.305,171.609,197.39,204.999,217.101,256.408,285.685,253.222,249.628,275.556,258.454,271.366,274.934,234.558,240.705,255.558,276.112,268.996,270.637,300.484,2019
